M,N,K
16, 1536, 7168
16, 576, 7168
16, 7168, 256
16, 4608, 7168
16, 7168, 2304
16, 512, 7168
32, 1536, 7168
32, 576, 7168
32, 7168, 256
32, 4608, 7168
32, 7168, 2304
32, 512, 7168
64, 1536, 7168
64, 576, 7168
64, 7168, 256
64, 4608, 7168
64, 7168, 2304
64, 512, 7168
128, 1536, 7168
128, 576, 7168
128, 7168, 256
128, 4608, 7168
128, 7168, 2304
128, 512, 7168
256, 1536, 7168
256, 576, 7168
256, 7168, 256
256, 4608, 7168
256, 7168, 2304
256, 512, 7168
512, 1536, 7168
512, 576, 7168
512, 7168, 256
512, 4608, 7168
512, 7168, 2304
512, 512, 7168
1024, 1536, 7168
1024, 576, 7168
1024, 7168, 256
1024, 4608, 7168
1024, 7168, 2304
1024, 512, 7168
1536, 1536, 7168
1536, 576, 7168
1536, 7168, 256
1536, 4608, 7168
1536, 7168, 2304
1536, 512, 7168
2048, 1536, 7168
2048, 576, 7168
2048, 7168, 256
2048, 4608, 7168
2048, 7168, 2304
2048, 512, 7168
4096, 1536, 7168
4096, 576, 7168
4096, 7168, 256
4096, 4608, 7168
4096, 7168, 2304
4096, 512, 7168
8192, 1536, 7168
8192, 576, 7168
8192, 7168, 256
8192, 4608, 7168
8192, 7168, 2304
8192, 512, 7168
16384, 1536, 7168
16384, 576, 7168
16384, 7168, 256
16384, 4608, 7168
16384, 7168, 2304
16384, 512, 7168
20480, 1536, 7168
20480, 576, 7168
20480, 7168, 256
20480, 4608, 7168
20480, 7168, 2304
20480, 512, 7168
73728, 3584, 6144
73728, 6144, 3072
73728, 160, 6144
2048, 37984, 6144
512, 3584, 6144
512, 6144, 3072
512, 160, 6144
496, 160, 6144
480, 160, 6144
464, 160, 6144
448, 160, 6144
432, 160, 6144
416, 160, 6144
400, 160, 6144
384, 160, 6144
368, 160, 6144
352, 160, 6144
336, 160, 6144
320, 160, 6144
304, 160, 6144
288, 160, 6144
272, 160, 6144
256, 160, 6144
248, 160, 6144
240, 160, 6144
232, 160, 6144
224, 160, 6144
216, 160, 6144
208, 160, 6144
200, 160, 6144
192, 160, 6144
184, 160, 6144
176, 160, 6144
168, 160, 6144
160, 160, 6144
152, 160, 6144
144, 160, 6144
136, 160, 6144
128, 160, 6144
120, 160, 6144
112, 160, 6144
104, 160, 6144
96, 160, 6144
88, 160, 6144
80, 160, 6144
72, 160, 6144
64, 160, 6144
56, 160, 6144
48, 160, 6144
40, 160, 6144
32, 160, 6144
24, 160, 6144
16, 160, 6144
8, 160, 6144
4, 160, 6144
2, 160, 6144
1, 160, 6144
2048, 3584, 6144
2048, 6144, 3072
2048, 160, 6144
3563, 3584, 6144
3563, 6144, 3072
3563, 160, 6144
24, 37984, 6144
46, 37984, 6144
69, 37984, 6144
38631, 3584, 6144
38631, 6144, 3072
38631, 160, 6144
80, 37984, 6144
79, 37984, 6144
3148, 3584, 6144
3148, 6144, 3072
3148, 160, 6144
78, 37984, 6144
3601, 3584, 6144
3601, 6144, 3072
3601, 160, 6144
3661, 3584, 6144
3661, 6144, 3072
3661, 160, 6144
3553, 3584, 6144
3553, 6144, 3072
3553, 160, 6144
3352, 3584, 6144
3352, 6144, 3072
3352, 160, 6144
3217, 3584, 6144
3217, 6144, 3072
3217, 160, 6144
3535, 3584, 6144
3535, 6144, 3072
3535, 160, 6144
3317, 3584, 6144
3317, 6144, 3072
3317, 160, 6144
77, 37984, 6144
3558, 3584, 6144
3558, 6144, 3072
3558, 160, 6144
6851, 3584, 6144
6851, 6144, 3072
6851, 160, 6144
3432, 3584, 6144
3432, 6144, 3072
3432, 160, 6144
3484, 3584, 6144
3484, 6144, 3072
3484, 160, 6144
6942, 3584, 6144
6942, 6144, 3072
6942, 160, 6144
3396, 3584, 6144
3396, 6144, 3072
3396, 160, 6144
7016, 3584, 6144
7016, 6144, 3072
7016, 160, 6144
3172, 3584, 6144
3172, 6144, 3072
3172, 160, 6144
3188, 3584, 6144
3188, 6144, 3072
3188, 160, 6144
6645, 3584, 6144
6645, 6144, 3072
6645, 160, 6144
3669, 3584, 6144
3669, 6144, 3072
3669, 160, 6144
3314, 3584, 6144
3314, 6144, 3072
3314, 160, 6144
3263, 3584, 6144
3263, 6144, 3072
3263, 160, 6144
3667, 3584, 6144
3667, 6144, 3072
3667, 160, 6144
3597, 3584, 6144
3597, 6144, 3072
3597, 160, 6144
3655, 3584, 6144
3655, 6144, 3072
3655, 160, 6144
3511, 3584, 6144
3511, 6144, 3072
3511, 160, 6144
6832, 3584, 6144
6832, 6144, 3072
6832, 160, 6144
10194, 3584, 6144
10194, 6144, 3072
10194, 160, 6144
3350, 3584, 6144
3350, 6144, 3072
3350, 160, 6144
6900, 3584, 6144
6900, 6144, 3072
6900, 160, 6144
3434, 3584, 6144
3434, 6144, 3072
3434, 160, 6144
3214, 3584, 6144
3214, 6144, 3072
3214, 160, 6144
3423, 3584, 6144
3423, 6144, 3072
3423, 160, 6144
3575, 3584, 6144
3575, 6144, 3072
3575, 160, 6144
6547, 3584, 6144
6547, 6144, 3072
6547, 160, 6144
6884, 3584, 6144
6884, 6144, 3072
6884, 160, 6144
76, 37984, 6144
3476, 3584, 6144
3476, 6144, 3072
3476, 160, 6144
9999, 3584, 6144
9999, 6144, 3072
9999, 160, 6144
3278, 3584, 6144
3278, 6144, 3072
3278, 160, 6144
3382, 3584, 6144
3382, 6144, 3072
3382, 160, 6144
3282, 3584, 6144
3282, 6144, 3072
3282, 160, 6144
3477, 3584, 6144
3477, 6144, 3072
3477, 160, 6144
3461, 3584, 6144
3461, 6144, 3072
3461, 160, 6144
6702, 3584, 6144
6702, 6144, 3072
6702, 160, 6144
3213, 3584, 6144
3213, 6144, 3072
3213, 160, 6144
6515, 3584, 6144
6515, 6144, 3072
6515, 160, 6144
3403, 3584, 6144
3403, 6144, 3072
3403, 160, 6144
3473, 3584, 6144
3473, 6144, 3072
3473, 160, 6144
3520, 3584, 6144
3520, 6144, 3072
3520, 160, 6144
3242, 3584, 6144
3242, 6144, 3072
3242, 160, 6144
3309, 3584, 6144
3309, 6144, 3072
3309, 160, 6144
3368, 3584, 6144
3368, 6144, 3072
3368, 160, 6144
6822, 3584, 6144
6822, 6144, 3072
6822, 160, 6144
3254, 3584, 6144
3254, 6144, 3072
3254, 160, 6144
3364, 3584, 6144
3364, 6144, 3072
3364, 160, 6144
3277, 3584, 6144
3277, 6144, 3072
3277, 160, 6144
3547, 3584, 6144
3547, 6144, 3072
3547, 160, 6144
6438, 3584, 6144
6438, 6144, 3072
6438, 160, 6144
3302, 3584, 6144
3302, 6144, 3072
3302, 160, 6144
3668, 3584, 6144
3668, 6144, 3072
3668, 160, 6144
3521, 3584, 6144
3521, 6144, 3072
3521, 160, 6144
3392, 3584, 6144
3392, 6144, 3072
3392, 160, 6144
3193, 3584, 6144
3193, 6144, 3072
3193, 160, 6144
3505, 3584, 6144
3505, 6144, 3072
3505, 160, 6144
3224, 3584, 6144
3224, 6144, 3072
3224, 160, 6144
3147, 3584, 6144
3147, 6144, 3072
3147, 160, 6144
3556, 3584, 6144
3556, 6144, 3072
3556, 160, 6144
3425, 3584, 6144
3425, 6144, 3072
3425, 160, 6144
3516, 3584, 6144
3516, 6144, 3072
3516, 160, 6144
3424, 3584, 6144
3424, 6144, 3072
3424, 160, 6144
6706, 3584, 6144
6706, 6144, 3072
6706, 160, 6144
3223, 3584, 6144
3223, 6144, 3072
3223, 160, 6144
6656, 3584, 6144
6656, 6144, 3072
6656, 160, 6144
3274, 3584, 6144
3274, 6144, 3072
3274, 160, 6144
3380, 3584, 6144
3380, 6144, 3072
3380, 160, 6144
3324, 3584, 6144
3324, 6144, 3072
3324, 160, 6144
6371, 3584, 6144
6371, 6144, 3072
6371, 160, 6144
3470, 3584, 6144
3470, 6144, 3072
3470, 160, 6144
3138, 3584, 6144
3138, 6144, 3072
3138, 160, 6144
3209, 3584, 6144
3209, 6144, 3072
3209, 160, 6144
6570, 3584, 6144
6570, 6144, 3072
6570, 160, 6144
6715, 3584, 6144
6715, 6144, 3072
6715, 160, 6144
6710, 3584, 6144
6710, 6144, 3072
6710, 160, 6144
6580, 3584, 6144
6580, 6144, 3072
6580, 160, 6144
3494, 3584, 6144
3494, 6144, 3072
3494, 160, 6144
3501, 3584, 6144
3501, 6144, 3072
3501, 160, 6144
3579, 3584, 6144
3579, 6144, 3072
3579, 160, 6144
3323, 3584, 6144
3323, 6144, 3072
3323, 160, 6144
6803, 3584, 6144
6803, 6144, 3072
6803, 160, 6144
6866, 3584, 6144
6866, 6144, 3072
6866, 160, 6144
3134, 3584, 6144
3134, 6144, 3072
3134, 160, 6144
3372, 3584, 6144
3372, 6144, 3072
3372, 160, 6144
9886, 3584, 6144
9886, 6144, 3072
9886, 160, 6144
3509, 3584, 6144
3509, 6144, 3072
3509, 160, 6144
3426, 3584, 6144
3426, 6144, 3072
3426, 160, 6144
6465, 3584, 6144
6465, 6144, 3072
6465, 160, 6144
3316, 3584, 6144
3316, 6144, 3072
3316, 160, 6144
6728, 3584, 6144
6728, 6144, 3072
